date,Borough,week day,Month,TMAX,TMIN,holiday,Year,Total
3/12/2006,STATEN ISLAND,Sunday,March,55,49,No Holiday,A2006,13
3/13/2006,BRONX,Monday,March,62,50,No Holiday,A2006,36
3/13/2006,MANHATTAN,Monday,March,62,50,No Holiday,A2006,29
3/13/2006,STATEN ISLAND,Monday,March,62,50,No Holiday,A2006,10
3/14/2006,BRONX,Tuesday,March,62,39,No Holiday,A2006,43
3/14/2006,MANHATTAN,Tuesday,March,62,39,No Holiday,A2006,28
3/14/2006,STATEN ISLAND,Tuesday,March,62,39,No Holiday,A2006,6
3/15/2006,BRONX,Wednesday,March,45,37,No Holiday,A2006,34
3/15/2006,MANHATTAN,Wednesday,March,45,37,No Holiday,A2006,26
3/15/2006,STATEN ISLAND,Wednesday,March,45,37,No Holiday,A2006,5
3/16/2006,BRONX,Thursday,March,48,35,No Holiday,A2006,43
3/16/2006,MANHATTAN,Thursday,March,48,35,No Holiday,A2006,18
3/16/2006,STATEN ISLAND,Thursday,March,48,35,No Holiday,A2006,10
3/17/2006,BRONX,Friday,March,46,31,No Holiday,A2006,52
3/17/2006,MANHATTAN,Friday,March,46,31,No Holiday,A2006,29
3/17/2006,STATEN ISLAND,Friday,March,46,31,No Holiday,A2006,6
3/18/2006,BRONX,Saturday,March,42,29,No Holiday,A2006,38
3/18/2006,MANHATTAN,Saturday,March,42,29,No Holiday,A2006,29
3/18/2006,STATEN ISLAND,Saturday,March,42,29,No Holiday,A2006,12
3/19/2006,BRONX,Sunday,March,42,30,No Holiday,A2006,34
3/19/2006,MANHATTAN,Sunday,March,42,30,No Holiday,A2006,25
3/19/2006,STATEN ISLAND,Sunday,March,42,30,No Holiday,A2006,7
3/20/2006,BRONX,Monday,March,41,27,No Holiday,A2006,55
3/20/2006,MANHATTAN,Monday,March,41,27,No Holiday,A2006,37
3/20/2006,STATEN ISLAND,Monday,March,41,27,No Holiday,A2006,10
3/21/2006,BRONX,Tuesday,March,44,24,No Holiday,A2006,37
3/21/2006,MANHATTAN,Tuesday,March,44,24,No Holiday,A2006,18
3/21/2006,STATEN ISLAND,Tuesday,March,44,24,No Holiday,A2006,12
3/22/2006,BRONX,Wednesday,March,46,31,No Holiday,A2006,38
3/22/2006,MANHATTAN,Wednesday,March,46,31,No Holiday,A2006,31
3/22/2006,STATEN ISLAND,Wednesday,March,46,31,No Holiday,A2006,3
3/23/2006,BRONX,Thursday,March,54,34,No Holiday,A2006,38
3/23/2006,MANHATTAN,Thursday,March,54,34,No Holiday,A2006,24
3/23/2006,STATEN ISLAND,Thursday,March,54,34,No Holiday,A2006,9
3/24/2006,BRONX,Friday,March,52,39,No Holiday,A2006,34
3/24/2006,MANHATTAN,Friday,March,52,39,No Holiday,A2006,28
3/24/2006,STATEN ISLAND,Friday,March,52,39,No Holiday,A2006,7
3/25/2006,BRONX,Saturday,March,47,38,No Holiday,A2006,39
3/25/2006,MANHATTAN,Saturday,March,47,38,No Holiday,A2006,23
3/25/2006,STATEN ISLAND,Saturday,March,47,38,No Holiday,A2006,4
3/26/2006,BRONX,Sunday,March,51,37,No Holiday,A2006,36
3/26/2006,MANHATTAN,Sunday,March,51,37,No Holiday,A2006,28
3/26/2006,STATEN ISLAND,Sunday,March,51,37,No Holiday,A2006,10
3/27/2006,BRONX,Monday,March,58,38,No Holiday,A2006,42
3/27/2006,MANHATTAN,Monday,March,58,38,No Holiday,A2006,22
3/27/2006,STATEN ISLAND,Monday,March,58,38,No Holiday,A2006,7
3/28/2006,BRONX,Tuesday,March,56,42,No Holiday,A2006,31
3/28/2006,MANHATTAN,Tuesday,March,56,42,No Holiday,A2006,32
3/28/2006,STATEN ISLAND,Tuesday,March,56,42,No Holiday,A2006,5
3/29/2006,BRONX,Wednesday,March,63,40,No Holiday,A2006,27
3/29/2006,MANHATTAN,Wednesday,March,63,40,No Holiday,A2006,28
